--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
C:\Users\Lenovo\AppData\Local\Temp\tmp0qll51sd_cropped.png	inside                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp0zlcs02p_cropped.png	good                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp1j5jw9xf_cropped.png	sugars                   	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmp1v4hxdba_cropped.png	authentic                	0.9997
C:\Users\Lenovo\AppData\Local\Temp\tmp1y7x0qa8_cropped.png	spices                   	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmp8cb8o5px_cropped.png	noodlesh                 	0.3598
C:\Users\Lenovo\AppData\Local\Temp\tmp8n7d0_4r_cropped.png	quality                  	0.9995
C:\Users\Lenovo\AppData\Local\Temp\tmp8xcxsyz0_cropped.png	satfat                   	0.8839
C:\Users\Lenovo\AppData\Local\Temp\tmpcpf1e3j0_cropped.png	servingsuggestion        	0.5296
C:\Users\Lenovo\AppData\Local\Temp\tmpcx0wcg3f_cropped.png	x                        	0.9955
C:\Users\Lenovo\AppData\Local\Temp\tmpdf203clc_cropped.png	spicei                   	0.8622
C:\Users\Lenovo\AppData\Local\Temp\tmpdkn53fyg_cropped.png	per                      	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmpfr8hp1f8_cropped.png	simply                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpganv0rmi_cropped.png	neo                      	0.9586
C:\Users\Lenovo\AppData\Local\Temp\tmph0dpapw4_cropped.png	with                     	0.9994
C:\Users\Lenovo\AppData\Local\Temp\tmpiirfvxgn_cropped.png	indian                   	0.9997
C:\Users\Lenovo\AppData\Local\Temp\tmpil69z1qv_cropped.png	mixpacket                	0.9998
C:\Users\Lenovo\AppData\Local\Temp\tmpjgbuy7tx_cropped.png	wt                       	0.9990
C:\Users\Lenovo\AppData\Local\Temp\tmpjvgh7aah_cropped.png	total                    	0.9998
C:\Users\Lenovo\AppData\Local\Temp\tmpknc6oov__cropped.png	net                      	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmplxps3_z8_cropped.png	calories                 	0.9965
C:\Users\Lenovo\AppData\Local\Temp\tmpmc8dp5nh_cropped.png	310                      	0.9989
C:\Users\Lenovo\AppData\Local\Temp\tmpo0kejxqi_cropped.png	package                  	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmppfe8fjyw_cropped.png	170gy                    	0.5850
C:\Users\Lenovo\AppData\Local\Temp\tmppuyuhzgo_cropped.png	246                      	0.9990
C:\Users\Lenovo\AppData\Local\Temp\tmpr6x5ru4d_cropped.png	nonute                   	0.1044
C:\Users\Lenovo\AppData\Local\Temp\tmps4lv6n1p_cropped.png	export                   	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmps9r6kw2f_cropped.png	made                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpu0e1mwf7_cropped.png	maggi                    	0.9996
C:\Users\Lenovo\AppData\Local\Temp\tmpurcwbcaz_cropped.png	masalas                  	0.2691
C:\Users\Lenovo\AppData\Local\Temp\tmpvliy_s2x_cropped.png	pack                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmpw7lplfrk_cropped.png	9700                     	0.6171
C:\Users\Lenovo\AppData\Local\Temp\tmpxul3c05e_cropped.png	f                        	0.2312
C:\Users\Lenovo\AppData\Local\Temp\tmpy4xzgw3z_cropped.png	25000                    	0.0697
C:\Users\Lenovo\AppData\Local\Temp\tmpyktp_hab_cropped.png	sodium                   	0.9995
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
C:\Users\Lenovo\AppData\Local\Temp\tmp0amwnq4c_cropped.png	iroglement               	0.0087
C:\Users\Lenovo\AppData\Local\Temp\tmp1rybts2m_cropped.png	sugars                   	0.9999
C:\Users\Lenovo\AppData\Local\Temp\tmp3g2wbr85_cropped.png	quality                  	0.9995
C:\Users\Lenovo\AppData\Local\Temp\tmp4n8wazhz_cropped.png	25000                    	0.0697
C:\Users\Lenovo\AppData\Local\Temp\tmp4w87se5l_cropped.png	x                        	0.3079
C:\Users\Lenovo\AppData\Local\Temp\tmp4zhotmcp_cropped.png	2464                     	0.2904
C:\Users\Lenovo\AppData\Local\Temp\tmp5ru3ftor_cropped.png	9700111111111111111111111	0.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp7bn29h50_cropped.png	masalas                  	0.2691
C:\Users\Lenovo\AppData\Local\Temp\tmp7kj51c43_cropped.png	pack                     	1.0000
C:\Users\Lenovo\AppData\Local\Temp\tmp7p9g2prf_cropped.png	noodless                 	0.3945
C:\Users\Lenovo\AppData\Local\Temp\tmp9yiytx9__cropped.png	maggi                    	0.9996
C:\Users\Lenovo\AppData\Local\Temp\tmp14eaeftj_cropped.png	310                      	0.9876
C:\Users\Lenovo\AppData\Local\Temp\tmp86j9513r_cropped.png	withering                	0.0037
C:\Users\Lenovo\AppData\Local\Temp\tmpa6rxdd7y_cropped.png	package                  	0.9999
